CD,AvgAge,ComplaintCount,name,FIPS
101,6.19,10,"CD101, Manhattan",21
102,7.37,32,"CD102, Manhattan",22
103,6.62,23,"CD103, Manhattan",43
104,6.18,34,"CD104, Manhattan",38
105,8.33,35,"CD105, Manhattan",39
106,6.87,41,"CD106, Manhattan",44
107,6.13,56,"CD107, Manhattan",58
108,5.97,37,"CD108, Manhattan",37
109,5.62,27,"CD109, Manhattan",36
110,8.15,50,"CD110, Manhattan",24
111,3.08,21,"CD111, Manhattan",56
112,8.56,37,"CD112, Manhattan",25
201,12.97,26,"CD201, Bronx",57
202,6.83,21,"CD202, Bronx",2
203,17.71,25,"CD203, Bronx",6
204,8.18,37,"CD204, Bronx",23
205,8.84,61,"CD205, Bronx",33
206,9.9,29,"CD206, Bronx",52
207,6.91,44,"CD207, Bronx",42
208,8.48,28,"CD208, Bronx",14
209,10.44,51,"CD209, Bronx",10
210,7.06,39,"CD210, Bronx",59
211,6.24,34,"CD211, Bronx",49
212,6.29,41,"CD212, Bronx",50
301,7.46,67,"CD301, Brooklyn",7
302,5.67,27,"CD302, Brooklyn",15
303,6.89,43,"CD303, Brooklyn",40
304,8.04,33,"CD304, Brooklyn",9
305,9.65,64,"CD305, Brooklyn",45
306,10.16,34,"CD306, Brooklyn",3
307,8.6,65,"CD307, Brooklyn",26
308,8.94,34,"CD308, Brooklyn",16
309,7.7,63,"CD309, Brooklyn",47
310,5.38,48,"CD310, Brooklyn",27
311,8.86,80,"CD311, Brooklyn",1
312,8.75,39,"CD312, Brooklyn",28
313,11.94,36,"CD313, Brooklyn",19
314,7.04,49,"CD314, Brooklyn",13
315,12.22,67,"CD315, Brooklyn",20
316,9.91,19,"CD316, Brooklyn",41
317,10.98,53,"CD317, Brooklyn",48
318,12.01,58,"CD318, Brooklyn",35
401,9.16,78,"CD401, Queens",31
402,8.28,64,"CD402, Queens",32
403,9.75,48,"CD403, Queens",11
404,10.91,23,"CD404, Queens",12
405,6.27,51,"CD405, Queens",29
406,7.99,36,"CD406, Queens",30
407,6.57,99,"CD407, Queens",18
408,12.69,44,"CD408, Queens",4
409,8.91,122,"CD409, Queens",46
410,8.36,97,"CD410, Queens",51
411,10.63,48,"CD411, Queens",5
412,11.43,99,"CD412, Queens",8
413,14.07,69,"CD413, Queens",55
414,11.69,27,"CD414, Queens",17
501,8.68,42,"CD501, Staten Island",53
502,4.45,13,"CD502, Staten Island",54
503,6.59,32,"CD503, Staten Island",34
