CD,AvgAge,ComplaintCount,name,FIPS
101,605.12,53,"CD101, Manhattan",21
102,643.07,63,"CD102, Manhattan",22
103,614.31,72,"CD103, Manhattan",43
104,718.73,49,"CD104, Manhattan",38
105,501.92,54,"CD105, Manhattan",39
106,700.82,42,"CD106, Manhattan",44
107,584.87,37,"CD107, Manhattan",58
108,1148.26,55,"CD108, Manhattan",37
109,265.57,13,"CD109, Manhattan",36
110,425.0,15,"CD110, Manhattan",24
111,954.75,20,"CD111, Manhattan",56
112,409.65,31,"CD112, Manhattan",25
201,166.34,13,"CD201, Bronx",57
202,192.52,9,"CD202, Bronx",2
203,129.15,15,"CD203, Bronx",6
204,120.32,18,"CD204, Bronx",23
205,68.64,19,"CD205, Bronx",33
206,84.12,17,"CD206, Bronx",52
207,189.41,13,"CD207, Bronx",42
208,396.02,13,"CD208, Bronx",14
209,106.03,14,"CD209, Bronx",10
210,254.38,33,"CD210, Bronx",59
211,629.23,15,"CD211, Bronx",49
212,246.25,29,"CD212, Bronx",50
301,213.96,119,"CD301, Brooklyn",7
302,383.04,47,"CD302, Brooklyn",15
303,184.09,77,"CD303, Brooklyn",40
304,244.94,33,"CD304, Brooklyn",9
305,182.31,19,"CD305, Brooklyn",45
306,850.36,40,"CD306, Brooklyn",3
307,368.1,121,"CD307, Brooklyn",26
308,102.94,39,"CD308, Brooklyn",16
309,375.4,19,"CD309, Brooklyn",47
310,371.39,116,"CD310, Brooklyn",27
311,545.18,78,"CD311, Brooklyn",1
312,346.16,103,"CD312, Brooklyn",28
313,291.28,40,"CD313, Brooklyn",19
314,485.49,51,"CD314, Brooklyn",13
315,209.67,53,"CD315, Brooklyn",20
316,642.9,18,"CD316, Brooklyn",41
317,818.89,16,"CD317, Brooklyn",48
318,351.13,33,"CD318, Brooklyn",35
401,289.83,67,"CD401, Queens",31
402,202.41,38,"CD402, Queens",32
403,272.17,67,"CD403, Queens",11
404,219.35,54,"CD404, Queens",12
405,212.8,81,"CD405, Queens",29
406,152.58,18,"CD406, Queens",30
407,240.16,107,"CD407, Queens",18
408,121.7,31,"CD408, Queens",4
409,223.22,61,"CD409, Queens",46
410,155.13,46,"CD410, Queens",51
411,101.66,36,"CD411, Queens",5
412,146.84,63,"CD412, Queens",8
413,92.43,41,"CD413, Queens",55
414,260.99,16,"CD414, Queens",17
501,320.64,32,"CD501, Staten Island",53
502,219.59,30,"CD502, Staten Island",54
503,132.31,49,"CD503, Staten Island",34
