CD,AvgAge,ComplaintCount,name,FIPS
101,252.91,14,"CD101, Manhattan",21
102,159.95,18,"CD102, Manhattan",22
103,288.59,23,"CD103, Manhattan",43
104,167.71,22,"CD104, Manhattan",38
105,122.32,25,"CD105, Manhattan",39
106,248.35,9,"CD106, Manhattan",44
107,184.45,16,"CD107, Manhattan",58
108,179.68,33,"CD108, Manhattan",37
109,275.74,6,"CD109, Manhattan",36
110,251.54,12,"CD110, Manhattan",24
111,94.54,28,"CD111, Manhattan",56
112,242.51,22,"CD112, Manhattan",25
201,171.2,29,"CD201, Bronx",57
202,252.1,15,"CD202, Bronx",2
203,117.83,14,"CD203, Bronx",6
204,308.34,23,"CD204, Bronx",23
205,209.16,27,"CD205, Bronx",33
206,131.12,17,"CD206, Bronx",52
207,125.49,20,"CD207, Bronx",42
208,148.01,9,"CD208, Bronx",14
209,336.26,8,"CD209, Bronx",10
210,120.74,46,"CD210, Bronx",59
211,53.42,23,"CD211, Bronx",49
212,119.42,18,"CD212, Bronx",50
301,158.84,67,"CD301, Brooklyn",7
302,164.74,34,"CD302, Brooklyn",15
303,168.11,69,"CD303, Brooklyn",40
304,214.03,43,"CD304, Brooklyn",9
305,62.29,38,"CD305, Brooklyn",45
306,161.85,54,"CD306, Brooklyn",3
307,128.17,48,"CD307, Brooklyn",26
308,206.32,51,"CD308, Brooklyn",16
309,101.22,26,"CD309, Brooklyn",47
310,132.32,66,"CD310, Brooklyn",27
311,76.49,149,"CD311, Brooklyn",1
312,95.06,119,"CD312, Brooklyn",28
313,195.89,30,"CD313, Brooklyn",19
314,200.03,60,"CD314, Brooklyn",13
315,134.62,90,"CD315, Brooklyn",20
316,272.94,26,"CD316, Brooklyn",41
317,122.41,49,"CD317, Brooklyn",48
318,131.27,70,"CD318, Brooklyn",35
401,319.15,100,"CD401, Queens",31
402,295.07,56,"CD402, Queens",32
403,295.39,87,"CD403, Queens",11
404,216.72,81,"CD404, Queens",12
405,251.16,86,"CD405, Queens",29
406,176.0,22,"CD406, Queens",30
407,217.37,113,"CD407, Queens",18
408,197.26,55,"CD408, Queens",4
409,181.72,106,"CD409, Queens",46
410,211.49,57,"CD410, Queens",51
411,153.86,87,"CD411, Queens",5
412,153.89,137,"CD412, Queens",8
413,243.67,64,"CD413, Queens",55
414,314.55,33,"CD414, Queens",17
501,462.36,37,"CD501, Staten Island",53
502,358.42,21,"CD502, Staten Island",54
503,247.42,14,"CD503, Staten Island",34
